Type,Size,Threads,Solutions,TotalTime_s,MaxMemory_KB,CPU_Percent,ContextSwitches,PageFaults,Status
sparse,8,1,0,29.4649,65742668,99,4,16438583,TIMEOUT
sparse,8,8,106077,29.3602,251116220,619,1282973,65512789,TIMEOUT
sparse,8,16,350072,29.5465,329982884,1077,3252896,85758608,TIMEOUT
sparse,8,32,430922,29.3784,428492788,1759,7297363,109401822,TIMEOUT
sparse,8,48,481559,29.4716,416138016,2424,9840603,105741254,TIMEOUT
sparse,8,64,413340,29.4623,413009428,2904,12622349,104368157,TIMEOUT
sparse,16,1,0,29.4651,66623832,99,5,16658862,TIMEOUT
sparse,16,8,0,30,227462548,564,1285049,56911461,TIMEOUT
sparse,16,16,20108,29.3856,433095496,959,4585729,108306640,TIMEOUT
