Dataset,Type,Size,Threads,Solutions,Time_s,Memory_KB,CPU_Percent,UserTime_s,SysTime_s,VoluntaryCS,InvoluntaryCS,PageFaults,Status
livejournal,sparse,8,1,0,90,94933656,99,62.81,29.44,132,313,23779466,SUCCESS
livejournal,sparse,8,8,108,90,321730008,363,217.54,141.04,201359,608,80526649,SUCCESS
livejournal,sparse,8,16,7,90,323121256,654,427.57,223.90,426619,819,80875877,SUCCESS
livejournal,sparse,8,32,29,90,325589824,1241,843.53,389.85,833087,1129,81509608,SUCCESS
livejournal,sparse,8,64,96,90,329729252,2434,1692.37,732.99,1588305,1979,82505982,SUCCESS
livejournal,sparse,16,1,0,90,92958120,99,63.26,28.95,5,238,23285565,SUCCESS
livejournal,sparse,16,8,1,90,322604944,367,220.32,142.67,204282,555,80744133,SUCCESS
livejournal,sparse,16,16,1,90,324980472,654,427.98,220.88,428955,760,81531734,SUCCESS
livejournal,sparse,16,32,0,90,329198644,1260,880.10,372.83,841680,1098,82731873,SUCCESS
livejournal,sparse,16,64,0,90,334978920,2400,1586.80,804.07,1644245,2082,84551462,SUCCESS
livejournal,sparse,32,1,0,90,95143784,99,63.08,29.17,5,292,23831965,SUCCESS
livejournal,sparse,32,8,0,90,324354332,369,222.78,142.36,202586,582,81175140,SUCCESS
livejournal,sparse,32,16,0,90,328212844,644,418.55,220.32,435810,761,82361508,SUCCESS
livejournal,sparse,32,32,0,90,335429244,1259,842.61,411.05,860501,1181,83991963,SUCCESS
livejournal,sparse,32,64,0,90,346784088,2394,1589.03,808.34,1689255,2041,86797871,SUCCESS
livejournal,dense,8,1,0,90,95055648,99,62.93,29.34,5,269,23809943,SUCCESS
livejournal,dense,8,8,324,90,321745716,368,218.87,146.00,203370,547,81035548,SUCCESS
livejournal,dense,8,16,256,90,323214884,644,419.49,219.30,431864,821,81426136,SUCCESS
livejournal,dense,8,32,230,90,325152400,1157,746.12,404.23,850796,1271,82312522,SUCCESS
livejournal,dense,8,64,66,90,331040912,2464,1691.47,763.13,1613182,2137,83056364,SUCCESS
livejournal,dense,16,1,0,90,94783404,99,63.18,29.09,5,241,23741889,SUCCESS
livejournal,dense,16,8,7,90,322682844,368,221.40,143.46,204295,650,80802824,SUCCESS
livejournal,dense,16,16,0,90,325120408,663,436.00,222.27,434690,787,81440402,SUCCESS
livejournal,dense,16,32,3,90,329197464,1250,869.24,373.41,857876,1185,82633032,SUCCESS
livejournal,dense,16,64,0,90,338381432,2265,1561.62,709.85,1659960,2005,85238542,SUCCESS
livejournal,dense,32,1,0,90,94444984,99,62.98,29.58,5,225,23657282,SUCCESS
livejournal,dense,32,8,0,90,324338068,365,213.39,147.71,192920,563,82734378,SUCCESS
livejournal,dense,32,16,0,90,327880636,643,383.00,258.23,492936,911,94258294,SUCCESS
livejournal,dense,32,32,0,90,336038056,1222,794.04,427.66,968041,1293,95938798,SUCCESS
livejournal,dense,32,64,0,90,350641740,2310,1371.25,952.13,1919733,2231,101500052,SUCCESS
