Dataset,Type,Size,Threads,Solutions,Time_s,Memory_KB,CPU_Percent,UserTime_s,SysTime_s,VoluntaryCS,InvoluntaryCS,PageFaults,Status
livejournal,sparse,8,1,0,90,92767800,99,62.78,29.51,4,233,23237993,SUCCESS
livejournal,sparse,8,8,215,90,466097896,346,136.93,220.49,287655,627,116644355,SUCCESS
livejournal,sparse,8,16,54,90,522377272,614,163.92,490.62,685068,12349,130697409,SUCCESS
livejournal,sparse,8,32,162,90,522947372,949,175.60,870.28,1339126,5602,131506097,SUCCESS
livejournal,sparse,8,64,19,90,523094572,1884,218.32,1816.14,2537429,5090,131218157,SUCCESS
livejournal,sparse,16,1,0,90,93941352,99,62.98,29.27,93,270,23531390,SUCCESS
livejournal,sparse,16,8,10,90,481761696,356,141.91,226.88,296551,655,120557075,SUCCESS
livejournal,sparse,16,16,1,90,523123476,624,157.44,501.19,689030,6494,131044861,SUCCESS
livejournal,sparse,16,32,0,90,522883248,1019,191.21,893.62,1337824,5569,131183264,SUCCESS
livejournal,sparse,16,64,2,90,523020756,1686,206.78,1679.21,2541767,6367,131862106,SUCCESS
livejournal,sparse,32,1,0,90,,,,,,,,SUCCESS
livejournal,sparse,32,8,Terminated,90,,,,,,,,SUCCESS
livejournal,sparse,32,16,Terminated,90,,,,,,,,SUCCESS
livejournal,sparse,32,32,0,90,523017560,984,190.96,867.90,1342492,4774,131448815,SUCCESS
livejournal,sparse,32,64,0,90,523120532,1779,220.33,1697.27,2506862,5788,131122557,SUCCESS
livejournal,dense,8,1,0,90,92929516,99,62.72,29.54,411,391,23278414,SUCCESS
livejournal,dense,8,8,378,90,474572252,354,141.88,223.05,292608,613,119215036,SUCCESS
livejournal,dense,8,16,379,90,523258388,620,160.03,525.85,690558,12886,131272716,SUCCESS
livejournal,dense,8,32,500,90,523339312,1029,176.14,944.73,1352078,11349,131781818,SUCCESS
livejournal,dense,8,64,292,90,523252796,1714,202.39,1681.63,2489515,11772,131450882,SUCCESS
livejournal,dense,16,1,0,90,93412040,99,62.81,29.45,216,361,23399050,SUCCESS
livejournal,dense,16,8,9,90,475631600,347,140.10,217.49,295436,674,119103072,SUCCESS
livejournal,dense,16,16,3,90,510206844,492,161.86,352.07,672316,850,128642399,SUCCESS
livejournal,dense,16,32,0,90,523347604,1066,181.86,959.17,1346356,12413,131513102,SUCCESS
livejournal,dense,16,64,0,90,523350304,1763,209.41,1722.08,2494517,16290,132007820,SUCCESS
livejournal,dense,32,1,0,90,91617416,99,63.63,28.45,905,287,22950411,SUCCESS
livejournal,dense,32,8,0,90,423442768,353,165.26,193.77,233369,651,109864294,SUCCESS
livejournal,dense,32,16,656,90,523370516,628,208.72,493.25,638808,12051,133885519,SUCCESS
livejournal,dense,32,32,0,90,522773040,936,253.09,731.92,1360474,4428,141144795,SUCCESS
livejournal,dense,32,64,0,90,523305008,1990,277.93,2011.99,2890712,13034,149712317,SUCCESS
