Type,Size,Threads,Solutions,TotalTime_s,MaxMemory_KB,CPU_Percent,ContextSwitches,PageFaults,Status
sparse,8,1,0,24.3374,52759760,99,6,13192857,TIMEOUT
sparse,16,1,0,24.3469,54287408,99,5,13574738,TIMEOUT
sparse,24,1,0,24.343,52723172,99,5,13183705,TIMEOUT
sparse,32,1,0,24.3375,54047132,99,5,13514656,TIMEOUT
dense,8,1,0,24.3437,53261708,99,5,13318337,TIMEOUT
dense,16,1,0,24.477,54373772,99,5,13596317,TIMEOUT
dense,24,1,0,24.4288,55080736,99,5,13795119,TIMEOUT
dense,32,1,0,24.4651,50676764,99,5,12815636,TIMEOUT
