Type,Size,Threads,Solutions,TotalTime_s,MaxMemory_KB,CPU_Percent,ContextSwitches,PageFaults,Status
sparse,8,8,1917686,59.3603,245804432,699,1324867,71427609,TIMEOUT
sparse,8,16,3527958,59.4615,324882592,1308,3369062,87860924,TIMEOUT
sparse,8,32,2964252,59.4618,410234272,2358,7259019,114077486,TIMEOUT
sparse,8,48,0,60,476784264,2575,11124037,124449774,TIMEOUT
sparse,8,64,917256,62.7532,513543152,2833,15472211,131672591,TIMEOUT
sparse,16,8,0,60,519112148,272,2822288,131277943,TIMEOUT
sparse,16,16,0,60,497940332,963,5347431,124528267,TIMEOUT
